iteration,state,probability,mean
1,1,0.009478005301454802,2.181718894652982
1,2,0.005252974765048149,2.181718894652982
1,3,0.005252974765048147,2.181718894652982
1,4,0.002383039255175953,2.181718894652982
1,5,0.005252974765048173,2.181718894652982
1,6,0.0023830392551759455,2.181718894652982
1,7,0.4628859631181322,2.181718894652982
1,8,0.007270194102514772,2.181718894652982
1,9,0.005252974765048167,2.181718894652982
1,10,0.462885963118132,2.181718894652982
1,11,0.0023830392551759546,2.181718894652982
1,12,0.007270194102514817,2.181718894652982
1,13,0.0023830392551759455,2.181718894652982
1,14,0.007270194102514807,2.181718894652982
1,15,0.007270194102514788,2.181718894652982
1,16,0.005125235971324949,2.181718894652982
2,1,0.009474234895472458,2.181718894652982
2,2,0.00525758616619367,2.181718894652982
2,3,0.005257586166193644,2.181718894652982
2,4,0.0023790759353935504,2.181718894652982
2,5,0.005257586166193668,2.181718894652982
2,6,0.002379075935393572,2.181718894652982
2,7,0.4628783014588084,2.181718894652982
2,8,0.007277899960250312,2.181718894652982
2,9,0.005257586166193665,2.181718894652982
2,10,0.4628783014588086,2.181718894652982
2,11,0.002379075935393549,2.181718894652982
2,12,0.007277899960250367,2.181718894652982
2,13,0.0023790759353935756,2.181718894652982
2,14,0.007277899960250334,2.181718894652982
2,15,0.007277899960250329,2.181718894652982
2,16,0.005110913939556974,2.181718894652982
3,1,0.009490691545401242,2.181718894652982
3,2,0.005247799821251577,2.181718894652982
3,3,0.005247799821251574,2.181718894652982
3,4,0.002387771627900191,2.181718894652982
3,5,0.00524779982125158,2.181718894652982
3,6,0.002387771627900169,2.181718894652982
3,7,0.4628932856264005,2.181718894652982
3,8,0.007267935492200648,2.181718894652982
3,9,0.0052477998212515755,2.181718894652982
3,10,0.46289328562639953,2.181718894652982
3,11,0.002387771627900172,2.181718894652982
3,12,0.0072679354922006905,2.181718894652982
3,13,0.002387771627900169,2.181718894652982
3,14,0.0072679354922006835,2.181718894652982
3,15,0.007267935492200619,2.181718894652982
3,16,0.005108709436390985,2.181718894652982
4,1,0.009479421148466744,2.183680024500421
4,2,0.00524343199538161,2.183680024500421
4,3,0.005243431995381616,2.183680024500421
4,4,0.002389394896029661,2.183680024500421
4,5,0.005243431995381612,2.183680024500421
4,6,0.002389394896029661,2.183680024500421
4,7,0.46286998866654067,2.183680024500421
4,8,0.007279894761905603,2.183680024500421
4,9,0.0052434319953816285,2.183680024500421
4,10,0.46286998866654083,2.183680024500421
4,11,0.0023893948960296255,2.183680024500421
4,12,0.007279894761905595,2.183680024500421
4,13,0.0023893948960296532,2.183680024500421
4,14,0.0072798947619055745,2.183680024500421
4,15,0.007279894761905624,2.183680024500421
4,16,0.005129714905184567,2.183680024500421
5,1,0.009508291406928077,2.183680024500421
5,2,0.005219810234567023,2.183680024500421
5,3,0.005219810234567039,2.183680024500421
5,4,0.0023900876988867696,2.183680024500421
5,5,0.0052198102345670525,2.183680024500421
5,6,0.002390087698886783,2.183680024500421
5,7,0.46291622783262654,2.183680024500421
5,8,0.007280777892973875,2.183680024500421
5,9,0.005219810234567037,2.183680024500421
5,10,0.46291622783262687,2.183680024500421
5,11,0.002390087698886781,2.183680024500421
5,12,0.007280777892973792,2.183680024500421
5,13,0.002390087698886789,2.183680024500421
5,14,0.007280777892973865,2.183680024500421
5,15,0.007280777892973865,2.183680024500421
5,16,0.005096549622108748,2.183680024500421
6,1,0.00947661147294268,2.183680024500421
6,2,0.005258257145616869,2.183680024500421
6,3,0.0052582571456168655,2.183680024500421
6,4,0.002377106843703661,2.183680024500421
6,5,0.005258257145616859,2.183680024500421
6,6,0.0023771068437036286,2.183680024500421
6,7,0.4628657998438754,2.183680024500421
6,8,0.007286635457952942,2.183680024500421
6,9,0.005258257145616879,2.183680024500421
6,10,0.4628657998438759,2.183680024500421
6,11,0.0023771068437036477,2.183680024500421
6,12,0.007286635457952895,2.183680024500421
6,13,0.002377106843703659,2.183680024500421
6,14,0.007286635457952911,2.183680024500421
6,15,0.007286635457952923,2.183680024500421
6,16,0.005103791050211776,2.183680024500421
7,1,0.009366578770318955,2.183757764805543
7,2,0.005281699370680786,2.183757764805543
7,3,0.005281699370680794,2.183757764805543
7,4,0.002398115169195035,2.183757764805543
7,5,0.0052816993706807725,2.183757764805543
7,6,0.002398115169195035,2.183757764805543
7,7,0.46288409696779087,2.183757764805543
7,8,0.007237385112640182,2.183757764805543
7,9,0.005281699370680782,2.183757764805543
7,10,0.462884096967791,2.183757764805543
7,11,0.0023981151691950383,2.183757764805543
7,12,0.00723738511264017,2.183757764805543
7,13,0.0023981151691950414,2.183757764805543
7,14,0.007237385112640179,2.183757764805543
7,15,0.007237385112640156,2.183757764805543
7,16,0.005196428684034978,2.183757764805543
8,1,0.009480336917512556,2.183757764805543
8,2,0.005230241546474516,2.183757764805543
8,3,0.005230241546474504,2.183757764805543
8,4,0.0024118706709388518,2.183757764805543
8,5,0.00523024154647451,2.183757764805543
8,6,0.002411870670938853,2.183757764805543
8,7,0.46298748542377605,2.183757764805543
