iteration,distance
1,0.0
2,1.4322031767975175e-05
3,1.652653493396366e-05
4,1.5974451591516114e-05
5,3.316453048112997e-05
6,2.1444921113173386e-05
7,0.00011142653113584665
8,0.00011342459732225502
9,0.00012304771196381455
10,8.187177662168608e-05
11,2.4684244370071565e-05
12,4.2097984942579374e-05
13,3.80212351581144e-05
14,2.4830853402045203e-05
15,3.6049543622129754e-05
16,4.08287278258479e-05
17,1.9051980280852115e-05
18,3.8623930309289456e-05
19,0.00015097830559280753
20,2.3821231191278186e-05
21,0.00012776288136323588
22,2.5280308600515722e-05
23,0.00014131983162753853
24,0.00010621413001637471
25,9.091072248068599e-05
26,8.107963624323904e-05
27,0.00012636963685730418
28,0.00014542197372936338
29,5.9151683726902694e-05
30,0.00043339528220582863
31,0.0003091431253144034
32,0.00015638540790271702
33,0.000632638392174029
34,0.0002195207194379085
35,0.00016222176317651563
36,0.0005792365275863239
37,0.00013310897911420535
38,9.232293310938635e-05
39,9.25424353004304e-05
40,0.001074888158523476
41,0.00038168566069910446
42,0.00010847249842207193
43,0.0003235521195876778
44,0.0008757008005661308
45,0.0007447196408436694
46,0.0011419098664794073
47,0.0005954871447408916
48,0.0007953573238292048
49,0.00035457327116655835
50,0.0010171290620788129
51,0.0011511504485501312
52,0.0008680326080805489
53,0.0007317291695528782
54,0.0007731317487378875
55,0.0011635334251696647
56,0.0013063124550218774
57,0.002014208555350702
58,0.0024083287150821267
59,0.0011661792536254928
60,0.0011056577362907188
61,0.0019604092088629814
62,0.001682162776890296
63,0.0016577264635671551
64,0.0021947457434456363
65,0.001961732430911899
66,0.0028924138507770425
67,0.0022079846675989723
68,0.0021021570138213055
69,0.0019427114700318882
70,0.0032340061274278575
71,0.002874669016521836
72,0.002309390746901341
73,0.0035058492252869056
74,0.003709856403411982
75,0.003441389933630634
76,0.003994795895830516
77,0.003955300173639376
78,0.0045295974272800965
79,0.003792840355654967
80,0.0032748302386713113
81,0.004502230582960398
82,0.00563861635671753
83,0.003912439858523131
84,0.004654222274827646
85,0.003805247109458787
86,0.00649296409553296
87,0.005530860742208155
88,0.00662561407889789
89,0.007171104286147145
90,0.007587105322518772
91,0.008742930297287677
92,0.008001964688976848
93,0.010632208819220557
94,0.010389952191056429
95,0.010357354338086378
96,0.008527634885541147
97,0.01106956129395037
98,0.010388727550236565
99,0.01202212200441427
100,0.010908206492224737
101,0.011903553377417886
102,0.011916796617882752
103,0.01167988443974416
104,0.011754063920633884
105,0.01182426894218852
106,0.012125495936822439
107,0.01176923399237123
108,0.0125583497958493
109,0.011001297261204357
110,0.012416602162890145
111,0.01291088162772891
112,0.013447171436344885
113,0.014841191274293786
114,0.015711349657391183
115,0.015958207798262514
